Date,Open,High,Low,Close,Volumn,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolumn
2020-03-19,25000,25300,,,,,22000,,,
2020-03-18,25500,26550,,,,,24600,,,
2020-03-17,24000,26400,,,,,25300,,,
2020-03-16,25500,26100,,,,,25300,,,
2020-03-13,24500,26200,,,,,24850,,,
2020-03-12,26550,27100,,,,,26400,,,
2020-03-11,28850,28850,,,,,27450,,,
2020-03-10,27500,28850,,,,,28550,,,
2020-03-09,28950,29100,,,,,28000,,,
2020-03-06,29250,29900,,,,,29250,,,
2020-03-05,28750,29950,,,,,29250,,,
2020-03-04,26950,28950,,,,,28750,,,
2020-03-03,26850,28150,,,,,26800,,,
2020-03-02,26550,27000,,,,,26350,,,
2020-02-28,26800,27200,,,,,26600,,,
2020-02-27,27800,28300,,,,,27600,,,
2020-02-26,28050,28350,,,,,27950,,,
2020-02-25,28000,28950,,,,,28650,,,
2020-02-24,29300,29500,,,,,28300,,,
2020-02-21,30800,31200,,,,,30000,,,
2020-02-20,31550,32750,,,,,31250,,,
2020-02-19,29300,31750,,,,,31500,,,
2020-02-18,29550,29550,,,,,29250,,,
2020-02-17,29700,30350,,,,,29700,,,
2020-02-14,29200,29900,,,,,29500,,,
2020-02-13,29850,29850,,,,,29400,,,
2020-02-12,29550,29750,,,,,29750,,,
2020-02-11,30050,30300,,,,,29300,,,
2020-02-10,30200,30200,,,,,29850,,,
2020-02-07,29700,31450,,,,,30050,,,
2020-02-06,31150,31350,,,,,29600,,,
2020-02-05,30800,31200,,,,,30650,,,
2020-02-04,30250,31100,,,,,30800,,,
2020-02-03,29100,30550,,,,,30300,,,
2020-01-31,31350,31550,,,,,30000,,,
2020-01-30,31900,32000,,,,,31550,,,
2020-01-29,31600,32250,,,,,31850,,,
2020-01-28,31950,32000,,,,,31450,,,
2020-01-23,33000,33000,,,,,32650,,,
2020-01-22,32200,32950,,,,,32750,,,
2020-01-21,32100,32950,,,,,32450,,,
2020-01-20,32300,33000,,,,,32050,,,
2020-01-17,31650,33000,,,,,32350,,,
2020-01-16,31750,32200,,,,,31600,,,
2020-01-15,29050,31800,,,,,31650,,,
2020-01-14,27250,29100,,,,,29050,,,
2020-01-13,27350,27600,,,,,27400,,,
2020-01-10,27650,27900,,,,,27200,,,
2020-01-09,27850,28100,,,,,27850,,,
2020-01-08,28250,28300,,,,,27700,,,
2020-01-07,28600,28900,,,,,28450,,,
2020-01-06,28550,28900,,,,,28650,,,
2020-01-03,29050,29050,,,,,28550,,,
2020-01-02,29200,29400,,,,,28900,,,
